"; PTT 177542, Serial 18P0963, Run 2 - 0.25&deg; Grid Size @ 05-Jun-2019 10:45"
"; Marine @ 2.0 meters/second, Model Score 54.96"
"; 3 Status Clock Corrections, 61 Twilights, 31 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
BUM_9,177542,29-Nov-2018 20:00:00,7.525,-78.375,User,,,,,,48.9205618385103,,
BUM_9,177542,30-Nov-2018 00:00:00,7.55,-78.4,None,,,,,,,30-Nov-2018 11:10:41,30-Nov-2018 22:53:54
BUM_9,177542,30-Nov-2018 08:00:00,7.6,-78.475,SST,28,28.4333330790202,0,1281,,27.3428779905108,,
BUM_9,177542,30-Nov-2018 10:41:15,7.6,-78.55,Light - Dawn,,,48,2979,,32.2480464344554,,
BUM_9,177542,30-Nov-2018 12:00:00,7.6,-78.55,None,,,,,,,,
BUM_9,177542,30-Nov-2018 22:02:30,7.6,-78.6,Light - Dusk,,,48,2979,,97.3473585196112,,
BUM_9,177542,01-Dec-2018 00:00:00,7.6,-78.6,None,,,,,,,01-Dec-2018 11:12:02,01-Dec-2018 22:54:55
BUM_9,177542,01-Dec-2018 10:42:30,7.625,-78.65,Light - Dawn,,,48,2979,,73.2991658723584,,
BUM_9,177542,01-Dec-2018 12:00:00,7.625,-78.65,SST,28.3,28.5599994659424,0,2979,,55.8777476617505,,
BUM_9,177542,01-Dec-2018 22:45:00,7.6,-78.7,Light - Dusk,,,48,2979,,91.1424737644544,,
BUM_9,177542,02-Dec-2018 00:00:00,7.6,-78.7,None,,,,,,,02-Dec-2018 11:12:54,02-Dec-2018 22:55:37
BUM_9,177542,02-Dec-2018 12:00:00,7.625,-78.75,None,,,,,,,,
BUM_9,177542,03-Dec-2018 00:00:00,7.65,-78.8,None,,,,,,,03-Dec-2018 11:13:52,03-Dec-2018 22:56:14
BUM_9,177542,03-Dec-2018 10:40:00,7.7,-78.85,Light - Dawn,,,48,3106,,82.4908983149619,,
BUM_9,177542,03-Dec-2018 12:00:00,7.7,-78.85,SST,27.9,28.6599988937378,1,3106,,22.7997219643572,,
BUM_9,177542,03-Dec-2018 22:28:45,7.65,-78.875,Light - Dusk,,,48,3106,,82.8303746868614,,
BUM_9,177542,04-Dec-2018 00:00:00,7.65,-78.875,None,,,,,,,04-Dec-2018 11:14:39,04-Dec-2018 22:56:52
BUM_9,177542,04-Dec-2018 12:00:00,7.65,-78.875,None,,,,,,,,
BUM_9,177542,05-Dec-2018 00:00:00,7.675,-78.9,None,,,,,,,05-Dec-2018 11:15:16,05-Dec-2018 22:57:16
BUM_9,177542,05-Dec-2018 10:15:00,7.725,-78.925,Light - Dawn,,,48,3106,,66.5780325911336,,
BUM_9,177542,05-Dec-2018 11:00:00,7.725,-78.925,SST,27.9,28.6029162406921,1,3106,,30.3161531739255,,
BUM_9,177542,05-Dec-2018 12:00:00,7.725,-78.925,None,,,,,,,,
BUM_9,177542,05-Dec-2018 22:26:15,7.65,-78.9,Light - Dusk,,,80,3106,,55.7255465631917,,
BUM_9,177542,06-Dec-2018 00:00:00,7.65,-78.9,None,,,,,,,06-Dec-2018 11:15:43,06-Dec-2018 22:57:39
BUM_9,177542,06-Dec-2018 12:00:00,7.575,-78.9,None,,,,,,,,
BUM_9,177542,07-Dec-2018 00:00:00,7.475,-78.925,None,,,,,,,07-Dec-2018 11:16:01,07-Dec-2018 22:58:25
BUM_9,177542,07-Dec-2018 04:00:01,7.45,-78.925,SST,28.1,28.5216676548675,0,3800,,41.0664752478675,,
BUM_9,177542,07-Dec-2018 10:40:01,7.475,-78.95,Light - Dawn,,,16,3800,,63.8036910614198,,
BUM_9,177542,07-Dec-2018 12:00:00,7.475,-78.95,None,,,,,,,,
BUM_9,177542,07-Dec-2018 22:33:46,7.5,-78.925,Light - Dusk,,,48,3800,,36.8485935479108,,
BUM_9,177542,08-Dec-2018 00:00:00,7.5,-78.925,None,,,,,,,08-Dec-2018 11:16:34,08-Dec-2018 22:58:45
BUM_9,177542,08-Dec-2018 12:00:00,7.475,-79.05,None,,,,,,,,
BUM_9,177542,09-Dec-2018 00:00:00,7.425,-79.125,None,,,,,,,09-Dec-2018 11:17:45,09-Dec-2018 23:00:04
BUM_9,177542,09-Dec-2018 10:42:31,7.375,-79.2,Light - Dawn,,,80,3669,,70.6886472816042,,
BUM_9,177542,09-Dec-2018 12:00:00,7.375,-79.2,None,,,,,,,,
BUM_9,177542,09-Dec-2018 12:00:01,7.375,-79.2,SST,28.1,28.5649978442766,0,3669,,39.6946175562417,,
BUM_9,177542,09-Dec-2018 22:38:46,7.375,-79.25,Light - Dusk,,,112,3381,,95.7427886901437,,
BUM_9,177542,10-Dec-2018 00:00:00,7.375,-79.25,None,,,,,,,10-Dec-2018 11:18:40,10-Dec-2018 23:01:04
BUM_9,177542,10-Dec-2018 12:00:00,7.35,-79.3,None,,,,,,,,
BUM_9,177542,11-Dec-2018 00:00:00,7.325,-79.325,None,,,,,,,11-Dec-2018 11:19:23,11-Dec-2018 23:01:52
BUM_9,177542,11-Dec-2018 08:00:01,7.3,-79.35,SST,28,28.0633325854275,0,3381,,79.5476160105095,,
BUM_9,177542,11-Dec-2018 10:40:01,7.3,-79.35,Light - Dawn,,,80,3381,,65.8627825927884,,
BUM_9,177542,11-Dec-2018 12:00:00,7.3,-79.35,None,,,,,,,,
