"; PTT 177542, Serial 18P0963, Run 4 - 0.25&deg; Grid Size @ 05-Jun-2019 15:42"
"; Marine @ 4.0 meters/second, Model Score 57.54"
"; 3 Status Clock Corrections, 61 Twilights, 31 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
BUM_9,177542,29-Nov-2018 20:00:00,7.45,-78.375,User,,,,,,49.8234851335897,,
BUM_9,177542,30-Nov-2018 00:00:00,7.5,-78.45,None,,,,,,,30-Nov-2018 11:10:48,30-Nov-2018 22:54:11
BUM_9,177542,30-Nov-2018 08:00:00,7.625,-78.525,SST,28,28.7966664632161,0,2979,,22.8338472658084,,
BUM_9,177542,30-Nov-2018 10:41:15,7.625,-78.675,Light - Dawn,,,48,2979,,52.5261162326925,,
BUM_9,177542,30-Nov-2018 12:00:00,7.6,-78.7,None,,,,,,,,
BUM_9,177542,30-Nov-2018 22:02:30,7.45,-78.825,Light - Dusk,,,48,3800,,89.6040711593671,,
BUM_9,177542,01-Dec-2018 00:00:00,7.425,-78.825,None,,,,,,,01-Dec-2018 11:12:39,01-Dec-2018 22:56:06
BUM_9,177542,01-Dec-2018 10:42:30,7.225,-78.925,Light - Dawn,,,48,4343,,78.4824987782757,,
BUM_9,177542,01-Dec-2018 12:00:00,6.975,-78.925,SST,28.3,28.2649993896484,0,4124,,61.0439620891348,,
BUM_9,177542,01-Dec-2018 22:45:00,7.3,-78.85,Light - Dusk,,,48,3800,,79.2781309133811,,
BUM_9,177542,02-Dec-2018 00:00:00,7.325,-78.85,None,,,,,,,02-Dec-2018 11:13:03,02-Dec-2018 22:56:40
BUM_9,177542,02-Dec-2018 12:00:00,7.275,-78.875,None,,,,,,,,
BUM_9,177542,03-Dec-2018 00:00:00,7.225,-78.925,None,,,,,,,03-Dec-2018 11:13:40,03-Dec-2018 22:57:27
BUM_9,177542,03-Dec-2018 10:40:00,6.875,-78.975,Light - Dawn,,,48,4124,,76.4253835529983,,
BUM_9,177542,03-Dec-2018 12:00:00,6.825,-78.975,SST,27.9,28.4499998092651,1,4124,,37.1650540943875,,
BUM_9,177542,03-Dec-2018 22:28:45,7.225,-78.9,Light - Dusk,,,48,4343,,73.2537616257243,,
BUM_9,177542,04-Dec-2018 00:00:00,7.25,-78.9,None,,,,,,,04-Dec-2018 11:14:05,04-Dec-2018 22:57:38
BUM_9,177542,04-Dec-2018 12:00:00,7.275,-78.925,None,,,,,,,,
BUM_9,177542,05-Dec-2018 00:00:00,7.325,-79,None,,,,,,,05-Dec-2018 11:15:05,05-Dec-2018 22:58:15
BUM_9,177542,05-Dec-2018 10:15:00,7.15,-79.025,Light - Dawn,,,48,3435,,65.5710483990139,,
BUM_9,177542,05-Dec-2018 11:00:00,7.15,-79.025,SST,27.9,28.3933327992757,1,3435,,40.5219734148264,,
BUM_9,177542,05-Dec-2018 12:00:00,7.2,-79,None,,,,,,,,
BUM_9,177542,05-Dec-2018 22:26:15,7.45,-78.825,Light - Dusk,,,80,3800,,55.512863929784,,
BUM_9,177542,06-Dec-2018 00:00:00,7.425,-78.825,None,,,,,,,06-Dec-2018 11:15:03,06-Dec-2018 22:57:44
BUM_9,177542,06-Dec-2018 12:00:00,7.375,-78.875,None,,,,,,,,
BUM_9,177542,07-Dec-2018 00:00:00,7.225,-78.9,None,,,,,,,07-Dec-2018 11:15:30,07-Dec-2018 22:58:44
