DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
177542,177542,MiniPAT,DS,13,0,2,64,59,21:49:10 30-Jan-2019,NP,3,-2.5805,-87.4958,-2.5805,-87.4958,58,,401677381,-122
177542,177542,MiniPAT,DS,6,0,1,83,59,22:15:59 30-Jan-2019,SR,2,-2.5771,-87.5003,-2.5771,-87.5003,56,,401677380,-132
177542,177542,MiniPAT,DS,8,0,2,68,59,23:15:05 30-Jan-2019,NK,2,-2.5725,-87.5191,-2.5725,-87.5191,58,,401677383,-130
177542,177542,MiniPAT,DS,11,0,1,65,59,23:23:53 30-Jan-2019,NP,3,-2.5656,-87.5242,-2.5656,-87.5242,58,,401677382,-125
177542,177542,MiniPAT,DS,12,0,3,70,59,23:53:26 30-Jan-2019,SR,3,-2.5612,-87.5342,-2.5612,-87.5342,56,,401677382,-121
177542,177542,MiniPAT,DS,11,0,1,76,59,00:49:41 31-Jan-2019,NK,3,-2.5545,-87.5463,-2.5545,-87.5463,58,,401677382,-125
177542,177542,MiniPAT,DS,14,0,2,59,59,01:47:18 31-Jan-2019,NN,3,-2.5490,-87.5557,-2.5490,-87.5557,58,,401677382,-124
177542,177542,MiniPAT,DS,7,0,2,100,59,01:58:49 31-Jan-2019,MA,3,-2.5543,-87.5537,-2.5543,-87.5537,56,,401677384,-118
177542,177542,MiniPAT,DS,10,0,1,73,59,02:34:08 31-Jan-2019,MC,3,-2.5426,-87.5588,-2.5426,-87.5588,58,,401677383,-116
177542,177542,MiniPAT,DS,9,0,3,82,59,03:21:33 31-Jan-2019,NN,1,-2.5575,-87.5867,-2.5575,-87.5867,47,,401677398,-127
177542,177542,MiniPAT,DS,12,0,1,65,59,03:41:39 31-Jan-2019,MA,3,-2.5419,-87.5648,-2.5419,-87.5648,56,,401677387,-115
177542,177542,MiniPAT,DS,10,0,3,59,59,04:08:55 31-Jan-2019,MC,3,-2.5357,-87.5673,-2.5357,-87.5673,56,,401677382,-118
177542,177542,MiniPAT,DS,6,0,1,71,59,08:53:09 31-Jan-2019,NP,2,-2.5182,-87.6144,-2.5182,-87.6144,58,,401677385,-131
177542,177542,MiniPAT,DS,14,0,3,59,59,10:25:48 31-Jan-2019,NP,3,-2.5066,-87.6384,-2.5066,-87.6384,58,,401677385,-120
177542,177542,MiniPAT,DS,9,0,1,74,59,10:49:43 31-Jan-2019,SR,3,-2.5058,-87.6423,-2.5058,-87.6423,56,,401677385,-124
177542,177542,MiniPAT,DS,13,0,0,59,59,11:50:02 31-Jan-2019,NK,3,-2.5003,-87.6525,-2.5003,-87.6525,58,,401677387,-127
177542,177542,MiniPAT,DS,1,0,1,,,12:13:26 31-Jan-2019,NP,B,-2.4987,-87.6579,-2.4987,-87.6579,6,,401677384,-140
177542,177542,MiniPAT,DS,10,0,2,73,59,12:25:54 31-Jan-2019,SR,3,-2.4941,-87.6565,-2.4941,-87.6565,58,,401677384,-124
177542,177542,MiniPAT,DS,8,0,3,68,59,12:49:29 31-Jan-2019,NN,3,-2.4938,-87.6589,-2.4938,-87.6589,56,,401677382,-129
177542,177542,MiniPAT,DS,10,0,4,60,59,13:32:59 31-Jan-2019,NK,3,-2.4849,-87.6670,-2.4849,-87.6670,58,,401677384,-122
177542,177542,MiniPAT,DS,1,0,1,,,14:08:52 31-Jan-2019,MB,B,-2.4798,-87.6747,-2.4798,-87.6747,8,,401677384,-133
177542,177542,MiniPAT,DS,10,0,2,79,60,14:25:47 31-Jan-2019,NN,3,-2.4784,-87.6735,-2.4784,-87.6735,58,,401677384,-120
177542,177542,MiniPAT,DS,13,0,2,64,59,14:30:47 31-Jan-2019,MA,3,-2.4779,-87.6778,-2.4779,-87.6778,56,,401677384,-126
177542,177542,MiniPAT,DS,13,0,1,59,59,15:07:15 31-Jan-2019,MC,3,-2.4782,-87.6900,-2.4782,-87.6900,58,,401677384,-116
177542,177542,MiniPAT,DS,8,0,3,76,59,15:42:34 31-Jan-2019,MB,3,-2.4788,-87.6887,-2.4788,-87.6887,58,,401677382,-127
177542,177542,MiniPAT,DS,7,0,0,79,59,16:13:16 31-Jan-2019,MA,3,-2.4758,-87.6926,-2.4758,-87.6926,58,,401677383,-124
177542,177542,MiniPAT,DS,8,0,2,59,59,16:54:32 31-Jan-2019,MC,2,-2.4841,-87.7020,-2.4841,-87.7020,58,,401677379,-126
177542,177542,MiniPAT,DS,12,0,2,65,59,21:36:51 31-Jan-2019,NP,3,-2.4827,-87.7555,-2.4827,-87.7555,68,,401677380,-125
177542,177542,MiniPAT,DS,12,0,3,65,59,23:18:17 31-Jan-2019,NP,3,-2.4886,-87.7768,-2.4886,-87.7768,58,,401677381,-124
177542,177542,MiniPAT,DS,14,0,2,59,59,23:21:15 31-Jan-2019,SR,3,-2.4892,-87.7812,-2.4892,-87.7812,56,,401677381,-124
177542,177542,MiniPAT,DS,14,0,0,59,59,00:34:20 01-Feb-2019,NK,3,-2.4936,-87.7973,-2.4936,-87.7973,58,,401677382,-121
177542,177542,MiniPAT,DS,6,0,3,83,59,01:06:26 01-Feb-2019,SR,3,-2.4960,-87.8063,-2.4960,-87.8063,58,,401677382,-130
177542,177542,MiniPAT,DS,12,0,0,64,59,01:36:24 01-Feb-2019,NN,3,-2.4963,-87.8098,-2.4963,-87.8098,56,,401677383,-123
177542,177542,MiniPAT,DS,7,0,1,59,59,01:37:53 01-Feb-2019,MA,2,-2.4974,-87.8078,-2.4974,-87.8078,56,,401677384,-125
177542,177542,MiniPAT,DS,10,0,3,66,59,02:10:14 01-Feb-2019,MC,2,-2.4979,-87.8158,-2.4979,-87.8158,56,,401677383,-121
177542,177542,MiniPAT,DS,8,0,5,68,59,02:08:25 01-Feb-2019,NK,1,-2.4988,-87.8203,-2.4988,-87.8203,58,,401677386,-130
177542,177542,MiniPAT,DS,9,0,4,82,59,02:46:17 01-Feb-2019,MB,3,-2.4982,-87.8235,-2.4982,-87.8235,58,,401677383,-130
177542,177542,MiniPAT,DS,12,0,3,59,59,03:11:20 01-Feb-2019,NN,3,-2.4981,-87.8292,-2.4981,-87.8292,56,,401677383,-125
177542,177542,MiniPAT,DS,14,0,3,59,59,03:19:50 01-Feb-2019,MA,3,-2.4975,-87.8272,-2.4975,-87.8272,56,,401677383,-115
177542,177542,MiniPAT,DS,12,0,2,70,59,03:45:40 01-Feb-2019,MC,3,-2.5004,-87.8383,-2.5004,-87.8383,56,,401677383,-121
177542,177542,MiniPAT,DS,4,0,4,159,59,04:20:42 01-Feb-2019,MB,2,-2.5013,-87.8463,-2.5013,-87.8463,58,,401677383,-129
177542,177542,MiniPAT,DS,1,0,1,,,04:54:53 01-Feb-2019,MA,B,-2.5026,-87.8553,-2.5026,-87.8553,8,,401677382,-135
177542,177542,MiniPAT,DS,14,0,1,64,59,10:13:41 01-Feb-2019,NP,2,-2.5100,-87.9129,-2.5100,-87.9129,58,,401677383,-123
177542,177542,MiniPAT,DS,6,0,5,71,59,10:20:08 01-Feb-2019,SR,2,-2.5094,-87.9080,-2.5094,-87.9080,56,,401677382,-128
177542,177542,MiniPAT,DS,9,0,3,66,59,11:28:26 01-Feb-2019,NK,3,-2.5115,-87.9192,-2.5115,-87.9192,58,,401677383,-125
