DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
177542,177542,0.500000,MiniPAT,03:00:00 04-Feb-2019,,,,0.0,27.4,Status
177542,177542,0.500000,MiniPAT,04:00:00 04-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,10:00:00 04-Feb-2019,,,,0.0,27.4,Status
177542,177542,0.500000,MiniPAT,14:00:00 04-Feb-2019,,,,0.0,27.3,Status
177542,177542,0.500000,MiniPAT,15:00:00 04-Feb-2019,,,,0.0,27.4,Status
177542,177542,0.500000,MiniPAT,16:00:00 04-Feb-2019,,,,0.0,27.3,Status
177542,177542,0.500000,MiniPAT,01:00:00 05-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,02:00:00 05-Feb-2019,,,,0.0,27.4,Status
177542,177542,0.500000,MiniPAT,03:00:00 05-Feb-2019,,,,0.0,27.3,Status
177542,177542,0.500000,MiniPAT,13:00:00 05-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,14:00:00 05-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,00:00:00 06-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,11:00:00 06-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,16:00:00 06-Feb-2019,,,,0.0,27.6,Status
177542,177542,0.500000,MiniPAT,00:00:00 07-Feb-2019,,,,0.0,27.7,Status
177542,177542,0.500000,MiniPAT,03:00:00 07-Feb-2019,,,,0.0,27.6,Status
177542,177542,0.500000,MiniPAT,04:00:00 07-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,11:00:00 07-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,14:00:00 07-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,15:00:00 07-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,16:00:00 07-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,22:00:00 07-Feb-2019,,,,0.0,27.7,Status
177542,177542,0.500000,MiniPAT,02:00:00 08-Feb-2019,,,,0.0,27.6,Status
177542,177542,0.500000,MiniPAT,03:00:00 08-Feb-2019,,,,0.0,27.6,Status
177542,177542,0.500000,MiniPAT,04:00:00 08-Feb-2019,,,,0.0,27.6,Status
177542,177542,0.500000,MiniPAT,15:00:00 08-Feb-2019,,,,0.0,27.5,Status
177542,177542,0.500000,MiniPAT,00:00:00 09-Feb-2019,,,,0.0,28.1,Status
177542,177542,0.500000,MiniPAT,02:00:00 09-Feb-2019,,,,0.0,27.9,Status
177542,177542,0.500000,MiniPAT,13:00:00 09-Feb-2019,,,,0.0,27.6,Status
177542,177542,0.500000,MiniPAT,23:00:00 09-Feb-2019,,,,0.0,28.2,Status
177542,177542,0.500000,MiniPAT,12:00:00 10-Feb-2019,,,,0.0,27.7,Status
177542,177542,0.500000,MiniPAT,13:00:00 10-Feb-2019,,,,0.0,27.7,Status
