DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
177542,177542,0.500000,Transmission,MiniPAT,8,04:00:00 17-Dec-2018,06:00:00 17-Dec-2018,,,,0.0,0.00,2.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,9,06:00:00 17-Dec-2018,08:00:00 17-Dec-2018,,,,0.0,0.00,3.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,08:00:00 17-Dec-2018,10:00:00 17-Dec-2018,,,,0.0,0.00,5.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,10:00:00 17-Dec-2018,12:00:00 17-Dec-2018,,,,0.0,0.00,58.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,12:00:00 17-Dec-2018,14:00:00 17-Dec-2018,,,,0.0,0.00,86.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,14:00:00 17-Dec-2018,16:00:00 17-Dec-2018,,,,0.0,0.00,70.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,16:00:00 17-Dec-2018,18:00:00 17-Dec-2018,,,,0.0,0.00,68.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,1,18:00:00 17-Dec-2018,20:00:00 17-Dec-2018,,,,0.0,0.00,136.0,1.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,2,20:00:00 17-Dec-2018,22:00:00 17-Dec-2018,,,,0.0,0.00,102.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,22:00:00 17-Dec-2018,00:00:00 18-Dec-2018,,,,0.0,0.00,78.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,00:00:00 19-Dec-2018,02:00:00 19-Dec-2018,,,,0.0,0.00,1.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,02:00:00 19-Dec-2018,04:00:00 19-Dec-2018,,,,0.0,0.00,47.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,04:00:00 19-Dec-2018,06:00:00 19-Dec-2018,,,,0.0,0.00,9.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,06:00:00 19-Dec-2018,08:00:00 19-Dec-2018,,,,0.0,0.00,43.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,08:00:00 19-Dec-2018,10:00:00 19-Dec-2018,,,,0.0,0.00,8.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,10:00:00 19-Dec-2018,12:00:00 19-Dec-2018,,,,0.0,0.00,54.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,12:00:00 19-Dec-2018,14:00:00 19-Dec-2018,,,,0.0,0.00,66.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,4,14:00:00 19-Dec-2018,16:00:00 19-Dec-2018,,,,0.0,0.00,80.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,16:00:00 19-Dec-2018,18:00:00 19-Dec-2018,,,,0.0,0.00,232.0,1.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,4,18:00:00 19-Dec-2018,20:00:00 19-Dec-2018,,,,0.0,0.00,66.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,20:00:00 19-Dec-2018,22:00:00 19-Dec-2018,,,,0.0,0.00,68.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,22:00:00 19-Dec-2018,00:00:00 20-Dec-2018,,,,0.0,0.00,68.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,00:00:00 21-Dec-2018,02:00:00 21-Dec-2018,,,,0.0,0.00,34.0,0.25,,,,,,,
