DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
177542,177542,MiniPAT,Weak,29-Nov-2018,20:00:00,29-Nov-2018,20:00:00
177542,177542,MiniPAT,Strong,27-Jan-2019,00:50:55,27-Jan-2019,00:51:03
177542,177542,MiniPAT,Strong,10-Feb-2019,12:39:48,10-Feb-2019,12:39:58
