DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
177542,177542,MiniPAT,12:17:15 07-Feb-2019,Argos,3,-3.4353,-88.1793,169,321,88,102,,,,,,
177542,177542,MiniPAT,13:06:31 07-Feb-2019,Argos,3,-3.4316,-88.1811,214,266,172,0,,,,,,
177542,177542,MiniPAT,13:47:17 07-Feb-2019,Argos,3,-3.4298,-88.1816,211,299,149,8,,,,,,
177542,177542,MiniPAT,13:56:41 07-Feb-2019,Argos,3,-3.4253,-88.1848,200,337,118,28,,,,,,
177542,177542,MiniPAT,14:22:55 07-Feb-2019,Argos,3,-3.4260,-88.1844,157,219,111,148,,,,,,
177542,177542,MiniPAT,14:46:17 07-Feb-2019,Argos,3,-3.4276,-88.1835,136,186,99,104,,,,,,
177542,177542,MiniPAT,14:56:45 07-Feb-2019,Argos,3,-3.4281,-88.1855,141,333,59,100,,,,,,
177542,177542,MiniPAT,15:26:38 07-Feb-2019,Argos,3,-3.4301,-88.1821,136,204,90,105,,,,,,
177542,177542,MiniPAT,16:02:18 07-Feb-2019,Argos,3,-3.4327,-88.1808,186,198,174,74,,,,,,
177542,177542,MiniPAT,16:44:53 07-Feb-2019,Argos,B,-3.4322,-88.1814,1916,10982,334,173,,,,,,
177542,177542,MiniPAT,21:55:45 07-Feb-2019,Argos,3,-3.4377,-88.1710,140,304,64,98,,,,,,
177542,177542,MiniPAT,23:04:52 07-Feb-2019,Argos,3,-3.4351,-88.1707,145,171,121,98,,,,,,
177542,177542,MiniPAT,23:14:29 07-Feb-2019,Argos,3,-3.4396,-88.1687,231,407,131,178,,,,,,
177542,177542,MiniPAT,23:30:12 07-Feb-2019,Argos,3,-3.4322,-88.1710,232,301,178,146,,,,,,
177542,177542,MiniPAT,00:43:37 08-Feb-2019,Argos,3,-3.4327,-88.1809,137,163,114,177,,,,,,
177542,177542,MiniPAT,00:54:32 08-Feb-2019,Argos,3,-3.4286,-88.1761,218,804,58,76,,,,,,
177542,177542,MiniPAT,01:58:30 08-Feb-2019,Argos,3,-3.4312,-88.1877,166,286,96,77,,,,,,
177542,177542,MiniPAT,02:34:00 08-Feb-2019,Argos,3,-3.4298,-88.1885,164,234,115,79,,,,,,
177542,177542,MiniPAT,03:07:25 08-Feb-2019,Argos,3,-3.4338,-88.1909,198,408,96,74,,,,,,
177542,177542,MiniPAT,03:30:03 08-Feb-2019,Argos,2,-3.4366,-88.1946,286,444,183,167,,,,,,
177542,177542,MiniPAT,03:42:30 08-Feb-2019,Argos,2,-3.4371,-88.1937,280,869,89,71,,,,,,
177542,177542,MiniPAT,04:10:25 08-Feb-2019,Argos,3,-3.4409,-88.1954,226,273,187,154,,,,,,
177542,177542,MiniPAT,04:42:49 08-Feb-2019,Argos,2,-3.4453,-88.1971,278,470,164,166,,,,,,
177542,177542,MiniPAT,09:03:16 08-Feb-2019,Argos,2,-3.4873,-88.1947,404,1226,132,40,,,,,,
177542,177542,MiniPAT,10:33:07 08-Feb-2019,Argos,3,-3.4796,-88.2007,192,693,53,98,,,,,,
177542,177542,MiniPAT,11:45:50 08-Feb-2019,Argos,3,-3.4837,-88.2011,171,550,53,76,,,,,,
177542,177542,MiniPAT,11:51:48 08-Feb-2019,Argos,3,-3.4836,-88.2015,167,198,141,83,,,,,,
177542,177542,MiniPAT,12:53:16 08-Feb-2019,Argos,2,-3.4883,-88.2032,266,412,172,4,,,,,,
177542,177542,MiniPAT,13:18:08 08-Feb-2019,Argos,1,-3.4890,-88.2062,1040,2276,474,170,,,,,,
177542,177542,MiniPAT,13:29:13 08-Feb-2019,Argos,2,-3.4853,-88.2072,321,771,133,2,,,,,,
177542,177542,MiniPAT,13:31:41 08-Feb-2019,Argos,3,-3.4892,-88.2060,154,189,125,148,,,,,,
177542,177542,MiniPAT,14:02:31 08-Feb-2019,Argos,2,-3.4950,-88.2084,338,622,183,6,,,,,,
177542,177542,MiniPAT,14:32:56 08-Feb-2019,Argos,3,-3.4974,-88.2097,186,343,101,104,,,,,,
177542,177542,MiniPAT,14:35:25 08-Feb-2019,Argos,2,-3.4968,-88.2094,373,800,173,60,,,,,,
177542,177542,MiniPAT,15:04:19 08-Feb-2019,Argos,2,-3.4988,-88.2120,277,1189,64,105,,,,,,
177542,177542,MiniPAT,15:40:37 08-Feb-2019,Argos,3,-3.5036,-88.2172,141,241,81,103,,,,,,
177542,177542,MiniPAT,16:23:26 08-Feb-2019,Argos,3,-3.5066,-88.2214,196,438,87,176,,,,,,
177542,177542,MiniPAT,21:44:10 08-Feb-2019,Argos,3,-3.5799,-88.2445,201,219,183,56,,,,,,
177542,177542,MiniPAT,22:35:59 08-Feb-2019,Argos,2,-3.5988,-88.2536,259,487,137,31,,,,,,
177542,177542,MiniPAT,23:19:46 08-Feb-2019,Argos,3,-3.6099,-88.2519,155,174,137,73,,,,,,
177542,177542,MiniPAT,00:13:01 09-Feb-2019,Argos,3,-3.6256,-88.2508,138,209,90,106,,,,,,
177542,177542,MiniPAT,00:34:01 09-Feb-2019,Argos,3,-3.6294,-88.2537,165,374,72,72,,,,,,
177542,177542,MiniPAT,01:47:25 09-Feb-2019,Argos,3,-3.6450,-88.2573,195,254,149,66,,,,,,
177542,177542,MiniPAT,02:09:43 09-Feb-2019,Argos,3,-3.6492,-88.2604,242,431,135,166,,,,,,
177542,177542,MiniPAT,02:12:12 09-Feb-2019,Argos,3,-3.6481,-88.2556,221,240,202,170,,,,,,
177542,177542,MiniPAT,02:47:45 09-Feb-2019,Argos,3,-3.6544,-88.2548,175,199,153,98,,,,,,
177542,177542,MiniPAT,03:18:41 09-Feb-2019,Argos,3,-3.6613,-88.2586,153,181,129,150,,,,,,
177542,177542,MiniPAT,03:23:09 09-Feb-2019,Argos,3,-3.6602,-88.2561,209,736,59,86,,,,,,
177542,177542,MiniPAT,03:53:56 09-Feb-2019,Argos,3,-3.6664,-88.2570,155,188,128,81,,,,,,
177542,177542,MiniPAT,04:22:13 09-Feb-2019,Argos,3,-3.6753,-88.2553,205,271,154,151,,,,,,
177542,177542,MiniPAT,08:48:55 09-Feb-2019,Argos,1,-3.6844,-88.2537,717,2764,186,4,,,,,,
177542,177542,MiniPAT,10:21:38 09-Feb-2019,Argos,0,-3.7229,-88.2417,2274,91993,56,103,,,,,,
177542,177542,MiniPAT,11:10:26 09-Feb-2019,Argos,3,-3.7267,-88.2549,155,179,133,78,,,,,,
177542,177542,MiniPAT,11:26:22 09-Feb-2019,Argos,2,-3.7301,-88.2591,251,369,171,179,,,,,,
