Index,DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,Time Offset,Count,InitLocQ,InitTime,InitLat,InitLon,Deepest,SSTTime,SSTDepth,SSTTemp,Type,Delta,MinDepth,MaxDepth,AttenShallow,AttenDeep,TravelMetric,FoundPrevious,K,LL0,Depth0,LL1,Depth1,LL2,Depth2,LL3,Depth3,LL4,Depth4,LL5,Depth5,LL6,Depth6,LL7,Depth7,LL8,Depth8,LL9,Depth9,LL10,Depth10,LL11,Depth11
,"177542",177542,0.500000,Transmission,MiniPAT,29-Nov-2018,20:00:00,,,,,,,,,,,Begin
,"177542",177542,0.500000,Transmission,MiniPAT,26-Jan-2019,18:02:00,8,,Argos-3,2019-01-27 02:51:35,-2.4453,-86.8816,,,,,End
0,"177542",177542,0.500000,Transmission,MiniPAT,30-Nov-2018,10:41:15,,20,,,,,72,08:00:00 30-Nov-2018,0,28.0,Dawn,600,16,48,,,0,,63167,82,,106,,131,,147,,159,,169,,175,,175,,176,
1,"177542",177542,0.500000,Transmission,MiniPAT,30-Nov-2018,22:02:30,,20,,,,,64,08:00:00 30-Nov-2018,0,28.0,Dusk,750,16,48,,,0,,4990,179,,170,,164,,161,,152,,132,,103,,72,,51,
2,"177542",177542,0.500000,Transmission,MiniPAT,01-Dec-2018,10:42:30,,21,,,,,64,12:00:00 01-Dec-2018,0,28.3,Dawn,600,16,48,,,0,,26798,74,,96,,119,,135,,149,,154,,160,,164,,165,
3,"177542",177542,0.500000,Transmission,MiniPAT,01-Dec-2018,22:45:00,,21,,,,,64,12:00:00 01-Dec-2018,0,28.3,Dusk,450,16,48,,,0,,45992,163,,157,,145,,132,,114,,94,,78,,64,,54,
4,"177542",177542,0.500000,Transmission,MiniPAT,03-Dec-2018,10:40:00,,18,,,,,56,12:00:00 03-Dec-2018,1,27.9,Dawn,600,16,48,,,0,,45069,75,,98,,121,,140,,149,,163,,163,,166,,166,
5,"177542",177542,0.500000,Transmission,MiniPAT,03-Dec-2018,22:28:45,1,18,,,,,64,12:00:00 03-Dec-2018,1,27.9,Dusk,600,16,48,,,0,,35071,170,,163,,154,,142,,125,,103,,77,,58,,42,
6,"177542",177542,0.500000,Transmission,MiniPAT,05-Dec-2018,10:15:00,1,22,,,,,80,11:00:00 05-Dec-2018,1,27.9,Dawn,750,16,48,,,0,,43981,56,,46,,69,,98,,129,,148,,161,,168,,171,
7,"177542",177542,0.500000,Transmission,MiniPAT,05-Dec-2018,22:26:15,1,22,,,,,88,11:00:00 05-Dec-2018,1,27.9,Dusk,750,16,80,,,0,,59895,171,,165,,157,,135,,109,,82,,57,,41,,36,
8,"177542",177542,0.500000,Transmission,MiniPAT,07-Dec-2018,10:40:00,1,22,,,,,88,04:00:00 07-Dec-2018,0,28.1,Dawn,600,16,16,,,0,,58231,72,,93,,118,,140,,155,,163,,171,,177,,180,
9,"177542",177542,0.500000,Transmission,MiniPAT,07-Dec-2018,22:33:45,1,22,,,,,184,04:00:00 07-Dec-2018,0,28.1,Dusk,600,16,48,,,0,,29501,172,,166,,154,,138,,118,,99,,79,,62,,46,
10,"177542",177542,0.500000,Transmission,MiniPAT,09-Dec-2018,10:42:30,1,26,,,,,128,12:00:00 09-Dec-2018,0,28.1,Dawn,600,16,80,,,0,,35991,70,,90,,113,,133,,147,,158,,164,,168,,169,
11,"177542",177542,0.500000,Transmission,MiniPAT,09-Dec-2018,22:38:45,1,26,,,,,120,12:00:00 09-Dec-2018,0,28.1,Dusk,600,16,112,,,0,,61939,167,,162,,153,,137,,116,,93,,73,,58,,46,
12,"177542",177542,0.500000,Transmission,MiniPAT,11-Dec-2018,10:40:00,2,23,,,,,120,08:00:00 11-Dec-2018,0,28.0,Dawn,450,16,80,,,0,,10195,67,,80,,96,,115,,132,,144,,155,,162,,168,
13,"177542",177542,0.500000,Transmission,MiniPAT,11-Dec-2018,22:32:30,2,23,,,,,112,08:00:00 11-Dec-2018,0,28.0,Dusk,600,16,112,,,0,,49800,172,,167,,160,,150,,133,,110,,86,,72,,56,
14,"177542",177542,0.500000,Transmission,MiniPAT,13-Dec-2018,10:40:00,2,28,,,,,328,11:00:00 13-Dec-2018,0,27.5,Dawn,450,16,48,,,0,,36975,69,,83,,100,,117,,131,,143,,153,,159,,165,
15,"177542",177542,0.500000,Transmission,MiniPAT,13-Dec-2018,22:33:45,2,28,,,,,128,11:00:00 13-Dec-2018,0,27.5,Dusk,600,16,80,,,0,,36791,159,,156,,149,,141,,124,,101,,81,,67,,57,
16,"177542",177542,0.500000,Transmission,MiniPAT,15-Dec-2018,10:42:30,2,28,,,,,88,11:00:00 15-Dec-2018,0,27.5,Dawn,900,16,48,,,0,,1051,68,,104,,139,,156,,166,,176,,170,,174,,179,
17,"177542",177542,0.500000,Transmission,MiniPAT,15-Dec-2018,22:17:30,2,28,,,,,216,11:00:00 15-Dec-2018,0,27.5,Dusk,750,16,48,,,0,,11875,179,,168,,162,,154,,140,,115,,100,,76,,64,
18,"177542",177542,0.500000,Transmission,MiniPAT,17-Dec-2018,10:57:30,2,23,,,,,136,12:00:00 17-Dec-2018,0,27.8,Dawn,600,16,48,,,0,,64221,98,,119,,139,,152,,160,,166,,177,,176,,175,
19,"177542",177542,0.500000,Transmission,MiniPAT,17-Dec-2018,22:31:15,2,23,,,,,96,12:00:00 17-Dec-2018,0,27.8,Dusk,600,16,80,,,0,,44969,170,,166,,161,,155,,144,,123,,102,,85,,74,
