DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
177542,177542,0.500000,MiniPAT,2.04u,04:27:49 04-Feb-2019,04:27:58 04-Feb-2019,9,3,-3.0591,-88.4172,CRC,,,1,12352,3.398,2.622,0.181,27.45,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,09:40:02 04-Feb-2019,09:40:11 04-Feb-2019,9,3,-3.1024,-88.3995,CRC,,,1,12736,3.438,2.622,0.117,27.35,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,13:50:38 04-Feb-2019,13:50:47 04-Feb-2019,9,3,-3.1333,-88.4056,CRC,,,1,12992,3.418,2.622,0.137,27.25,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,14:53:24 04-Feb-2019,14:53:33 04-Feb-2019,9,2,-3.1512,-88.4105,CRC,,,1,12992,3.398,2.622,0.171,27.40,-2.0,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,15:35:11 04-Feb-2019,15:35:20 04-Feb-2019,9,3,-3.1636,-88.4001,CRC,,,1,13120,3.398,2.622,0.166,27.30,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,00:38:43 05-Feb-2019,00:38:52 05-Feb-2019,9,3,-3.3628,-88.3505,CRC,,,1,13632,3.379,2.622,0.200,27.50,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,02:23:04 05-Feb-2019,02:23:13 05-Feb-2019,9,2,-3.3983,-88.3374,CRC,,,1,13760,3.398,2.622,0.171,27.35,-2.0,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,03:04:52 05-Feb-2019,03:05:01 05-Feb-2019,9,3,-3.4069,-88.3322,CRC,,,1,13760,3.418,2.622,0.137,27.30,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,13:10:20 05-Feb-2019,13:10:29 05-Feb-2019,9,3,-3.4558,-88.3078,CRC,,,1,14400,3.438,2.622,0.098,27.45,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,13:31:09 05-Feb-2019,13:31:18 05-Feb-2019,9,3,-3.4579,-88.3062,CRC,,,1,14400,3.359,2.622,0.195,27.45,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,23:57:20 05-Feb-2019,23:57:29 05-Feb-2019,9,1,-3.4816,-88.3015,CRC,,,1,15040,3.359,2.622,0.176,27.55,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,11:05:09 06-Feb-2019,11:05:18 06-Feb-2019,9,3,-3.5069,-88.2721,CRC,,,1,15680,3.398,2.622,0.117,27.55,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,15:57:35 06-Feb-2019,15:57:44 06-Feb-2019,9,3,-3.4936,-88.2559,CRC,,,1,15936,3.379,2.622,0.122,27.65,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
